# id | tr | en | pt | de | fr | it | ru
kendine_guven_01 | Karar verirken başkalarını dinliyorum; kendi deneyimimi de göz ardı etmiyorum. | I listen to others when deciding, without setting aside what my own experience has taught me. | Ao decidir, escuto os outros sem ignorar o que aprendi com minha experiência. | Wenn ich entscheide, höre ich anderen zu, ohne meine eigene Erfahrung zu übergehen. | Pour décider, j’écoute les autres sans écarter ce que ma propre expérience m’a appris. | Quando decido, ascolto gli altri senza ignorare ciò che la mia esperienza mi ha insegnato. | Принимая решение, я слушаю других, но не забываю о том, чему научил меня собственный опыт.
motivasyon_09 | Başlamak istediğin işi bugün bir yere koy: açık bir deftere, boş bir saate, ilk denemeye. | Give the work you want to begin a place today: an open notebook, a free hour, a first attempt. | Dê espaço hoje ao que quer começar: um caderno aberto, uma hora livre, uma primeira tentativa. | Gib deinem Vorhaben heute einen Anfang: ein offenes Heft, eine freie Stunde, ein erster Versuch. | Donnez un début concret à votre projet : un carnet ouvert, une heure libre, un premier essai. | Dai un inizio concreto al tuo progetto: un quaderno aperto, un’ora libera, un primo tentativo. | Найдите сегодня начало для задуманного: открытая тетрадь, свободный час, первая попытка.
azim_05 | Aynı hareketi tekrar ederken bugün bir ayrıntıyı düzelt. Emek, dikkatle birleştiğinde ilerler. | On today's repetition, improve one detail. Practice becomes more useful when you pay attention. | Na repetição de hoje, melhore um detalhe. A prática rende mais quando você presta atenção. | Verbessere bei der heutigen Wiederholung ein Detail. Aufmerksamkeit macht Übung wirksamer. | Lors de la répétition d’aujourd’hui, améliorez un détail. L’attention rend la pratique plus utile. | Nella ripetizione di oggi, migliora un dettaglio. L’attenzione rende la pratica più utile. | В сегодняшней попытке улучшите одну деталь. Внимание делает повторение полезнее.
pes_03 | Bırakmak istediğinde, önce neyin ağır geldiğini söyle. Belki azaltılacak olan hedef değil, yüktür. | When you want to quit, name what feels too heavy. The load may need reducing before the goal does. | Quando quiser desistir, diga o que está pesado demais. Talvez seja a carga que precise diminuir. | Wenn du aufgeben möchtest, benenne, was zu schwer ist. Vielleicht muss die Last kleiner werden, nicht das Ziel. | Si vous voulez abandonner, nommez ce qui pèse trop. C’est peut-être la charge qu’il faut réduire, pas le but. | Quando vuoi mollare, dai un nome a ciò che pesa troppo. Forse va ridotto il carico, non l’obiettivo. | Когда хочется сдаться, назовите то, что стало слишком тяжёлым. Возможно, уменьшить нужно нагрузку, а не цель.
zorluk_sabir_08 | Sorun bugün çözülmedi diye günün bütünü boşa gitmedi. O zorluğun içinde yaptıkların da var. | An unresolved problem does not make today a wasted day. You did other things while carrying it. | Um problema sem solução não torna o dia perdido. Você fez outras coisas enquanto lidava com ele. | Ein ungelöstes Problem macht den Tag nicht wertlos. Du hast daneben auch anderes geschafft. | Un problème non résolu ne fait pas de cette journée une journée perdue. Vous avez aussi vécu avec cette difficulté. | Un problema irrisolto non rende sprecata la giornata. Hai fatto anche altro mentre lo affrontavi. | Нерешённая проблема не делает день потерянным. Сегодня вы делали и другие вещи, несмотря на неё.
yorgunluk_sabir_04 | Mola verirken yarının işlerini sıralamak zorunda değilsin. Bu birkaç dakika gerçekten dinlenmen için. | You need not plan tomorrow's tasks during this break. These few minutes can simply be for resting. | Você não precisa planejar as tarefas de amanhã nesta pausa. Estes minutos podem ser só para descansar. | Du musst in dieser Pause nicht den nächsten Tag planen. Diese Minuten dürfen einfach der Erholung gehören. | Vous n’avez pas à organiser demain pendant cette pause. Ces quelques minutes peuvent servir à vous reposer. | Non devi pianificare domani durante questa pausa. Questi minuti possono servire soltanto a riposare. | Во время перерыва не обязательно планировать завтрашние дела. Эти несколько минут можно просто отдохнуть.
tukenmislik_07 | Hevesin kalmadığında kendine yüklenmeden önce iş yüküne bak. Sürekli fazlasını istemek de sorunun parçası olabilir. | Before blaming your lack of enthusiasm, look at the workload. Constant demands may be part of the problem. | Antes de se culpar pela falta de ânimo, olhe para a carga de trabalho. Exigências constantes podem fazer parte do problema. | Bevor du dir fehlenden Antrieb vorwirfst, sieh auf die Arbeitslast. Ständige Forderungen können Teil des Problems sein. | Avant de vous reprocher votre manque d’élan, regardez la charge de travail. Les exigences constantes peuvent contribuer au problème. | Prima di colpevolizzarti per la mancanza di entusiasmo, guarda il carico di lavoro. Le richieste continue possono contribuire al problema. | Прежде чем винить себя за отсутствие сил, посмотрите на нагрузку. Постоянные требования могут быть частью проблемы.
uzun_soluk_07 | Aylar sürecek bir işte yalnız sonuçları konuşma; yol boyunca öğrendiklerini de biriyle paylaş. | During months of work, share what you are learning with someone, not only the final result. | Ao longo de meses de trabalho, compartilhe com alguém o que está aprendendo, não só o resultado final. | Sprich bei einer monatelangen Arbeit auch darüber, was du lernst, nicht nur über das Endergebnis. | Pendant un travail de plusieurs mois, partagez aussi ce que vous apprenez, pas seulement le résultat final. | Durante un lavoro che dura mesi, condividi anche ciò che impari, non solo il risultato finale. | Если работа длится месяцами, делитесь с кем-нибудь тем, чему учитесь, а не только итоговым результатом.
umut_10 | Bugün iyi bir şey beklemekte zorlanabilirsin. Bu, yarının yalnızca bugünün tekrarı olacağı anlamına gelmez. | It may be hard to expect anything good today. That does not mean tomorrow can only repeat it. | Hoje pode ser difícil esperar algo bom. Isso não significa que amanhã só possa repetir este dia. | Vielleicht fällt es dir heute schwer, Gutes zu erwarten. Morgen muss deshalb keine Wiederholung werden. | Il est peut-être difficile d’espérer du bon aujourd’hui. Demain ne sera pas forcément une répétition. | Oggi può essere difficile aspettarsi qualcosa di buono. Non significa che domani debba essere uguale. | Сегодня может быть трудно ждать чего-то хорошего. Но это не значит, что завтра может лишь повторить сегодняшний день.
durtu_05 | Şu an istediğin şeyin sonrasını da düşün: kararının birkaç saat sonra sana nasıl hissettireceğini. | Picture the hours after getting what you want now. How might you feel about the choice then? | Imagine as horas depois de conseguir o que quer agora. Como poderá se sentir com essa escolha? | Stell dir die Stunden nach dieser Entscheidung vor. Wie wirst du dann darüber denken? | Imaginez les heures qui suivront ce choix. Comment pourriez-vous vous sentir ensuite ? | Immagina le ore dopo aver ottenuto ciò che vuoi adesso. Come potresti sentirti riguardo alla scelta? | Представьте несколько часов после того, как получите желаемое. Как вы будете относиться к своему выбору?
ozguven_09 | Yapabildiğin bir işi anlatırken hemen eksiklerini eklemek zorunda değilsin. Başardığın kısmı da duyur. | When describing something you do well, you need not immediately list every weakness. Let the strength be heard. | Ao falar do que faz bem, não precisa listar logo todas as falhas. Deixe sua capacidade ser reconhecida. | Wenn du erzählst, was dir gelingt, musst du nicht sofort alle Schwächen nennen. Lass auch deine Stärke stehen. | Quand vous parlez de ce que vous faites bien, ne vous sentez pas obligé d’ajouter aussitôt toutes vos faiblesses. | Quando racconti ciò che sai fare bene, non devi elencare subito ogni debolezza. Dai voce anche alle tue capacità. | Рассказывая о том, что вам удаётся, не обязательно сразу перечислять недостатки. Дайте прозвучать и своим сильным сторонам.
