Today | Hoje | Heute | Aujourd’hui | Oggi | Сегодня
Explore | Explorar | Entdecken | Explorer | Esplora | Обзор
Appearance | Aparência | Gestaltung | Apparence | Aspetto | Оформление
You | Você | Du | Vous | Tu | Профиль
Continue | Continuar | Weiter | Continuer | Continua | Продолжить
Saving… | Salvando… | Wird gespeichert… | Enregistrement… | Salvataggio… | Сохранение…
adapted | adaptação | bearbeitet | adaptation | adattamento | адаптация
Back | Voltar | Zurück | Retour | Indietro | Назад
Close | Fechar | Schließen | Fermer | Chiudi | Закрыть
Done | Concluído | Fertig | Terminé | Fine | Готово
Settings | Configurações | Einstellungen | Réglages | Impostazioni | Настройки
Image | Imagem | Bild | Image | Immagine | Изображение
Video | Vídeo | Video | Vidéo | Video | Видео
Share | Compartilhar | Teilen | Partager | Condividi | Поделиться
Save | Salvar | Speichern | Enregistrer | Salva | Сохранить
Saved | Salvos | Gespeichert | Enregistrés | Salvati | Сохранённое
Saved quotes | Frases salvas | Gespeicherte Gedanken | Pensées enregistrées | Pensieri salvati | Сохранённые мысли
Save to device | Salvar no dispositivo | Auf Gerät speichern | Enregistrer sur l’appareil | Salva sul dispositivo | Сохранить на устройстве
Choose a background | Escolha um fundo | Hintergrund wählen | Choisir un fond | Scegli uno sfondo | Выберите фон
Search backgrounds | Buscar fundos | Hintergründe suchen | Rechercher un fond | Cerca sfondi | Найти фон
Add to my reminders | Incluir nos lembretes | In Erinnerungen aufnehmen | Ajouter aux rappels | Aggiungi ai promemoria | Добавить в уведомления
Enable notifications | Ativar notificações | Benachrichtigungen aktivieren | Activer les notifications | Attiva le notifiche | Включить уведомления
Your reminder topics | Temas dos lembretes | Deine Erinnerungsthemen | Thèmes des rappels | Temi dei promemoria | Темы уведомлений
Your reminders | Seus lembretes | Deine Erinnerungen | Vos rappels | I tuoi promemoria | Ваши уведомления
Daily reminders | Lembretes diários | Tägliche Erinnerungen | Rappels quotidiens | Promemoria giornalieri | Ежедневные уведомления
Set my rhythm | Definir meu ritmo | Meinen Rhythmus wählen | Choisir mon rythme | Scegli il mio ritmo | Настроить ритм
Choose my theme | Escolher meu tema | Mein Design wählen | Choisir mon thème | Scegli il mio tema | Выбрать тему
Start 3-day trial | Iniciar teste de 3 dias | 3 Tage testen | Essayer pendant 3 jours | Prova per 3 giorni | Попробовать 3 дня
Explore with a 3-day trial. | Explore com um teste de 3 dias. | Entdecke mehr mit 3 Probetagen. | Découvrez plus avec 3 jours d’essai. | Scopri di più con 3 giorni di prova. | Откройте больше с пробным периодом на 3 дня.
